A,D,emotion
-11.9695198197434,213.140686035156,H
-13.261817199961,212.527450561523,H
-2.51188292388349,213.545654296875,H
-1.59188662252063,211.180099487305,H
11.0369180461589,212.242584228516,H
-3.16701054270396,212.292175292969,H
-2.69782668427254,213.969665527344,H
-8.44463776683568,211.020904541016,H
6.50096421139779,212.083404541016,H
1.15999168603942,212.427749633789,H
6.28390228740727,212.417266845703,H
-0.836487060174029,211.620468139648,H
-1.230401058816,213.457183837891,H
-4.87331175413885,213.50422668457,H
8.19759371495366,201.835296630859,A
8.87027951090857,204.279418945312,A
7.58166196490606,203.87532043457,A
5.95224036725739,203.549819946289,A
7.66002761221074,204.450958251953,A
7.92189813747513,204.701065063477,A
8.04443844870661,203.843322753906,A
8.51877568486259,203.268020629883,A
7.85978004902432,204.038619995117,A
5.84971515671384,203.647842407227,A
8.05730593356202,203.022338867187,A
7.50570050556121,204.364776611328,A
7.9648942996613,202.589340209961,A
8.22393320110137,204.606979370117,A
3.52112006218874,211.627380371094,F
-2.69438638067498,212.082794189453,F
-16.7755420665827,211.159606933594,F
-11.5350606844089,212.944808959961,F
15.9613355865673,213.118576049805,F
-8.61561377796249,210.356170654297,F
5.23005083685746,212.116363525391,F
13.2686617249078,212.572952270508,F
13.0220412231097,212.631149291992,F
-1.73487654797633,211.996994018555,F
14.8516743347926,212.029724121094,F
-4.08534095441837,212.477951049805,F
9.83448322777747,211.525848388672,F
22.7148633236141,211.597473144531,F
3.58098162234199,212.415435791016,F
7.51793460818107,209.098205566406,N
6.14394535247698,209.745300292969,N
7.93567600521072,210.14973449707,N
6.92281953984519,210.696334838867,N
6.00630933877966,212.963531494141,N
7.32990335094996,210.753173828125,N
6.7012456694826,209.688583374023,N
7.7759482186579,211.324935913086,N
6.27304985734156,211.213882446289,N
5.80490544521695,209.075088500977,N
6.58008258991316,210.362121582031,N
6.47684128551873,210.745864868164,N
7.89365406372866,210.187637329102,N
7.19257708947652,209.843292236328,N
6.94374668874787,211.154479980469,N
7.74435848782673,209.062622070312,S
10.5920949788896,211.151260375977,S
6.90315082874093,209.064559936523,S
7.47595041428184,209.712142944336,S
8.94931184713954,208.350891113281,S
11.0396514152455,209.354858398437,S
7.52702622452972,208.433242797852,S
7.61263996285067,210.397323608398,S
8.20031154091794,208.499649047852,S
7.02057634249798,210.063430786133,S
8.21165246911448,208.243057250977,S
7.08553660189182,209.76628112793,S
8.32505731018784,209.661422729492,S
9.32254939911559,209.814636230469,S
5.4566179352733,210.292999267578,S
